,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,traintest,date,monthnum,daynum,hour,weekday,hour_section
0,2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3,13,16,train,2011-01-01,1,1,0,Saturday,0
1,2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8,32,40,train,2011-01-01,1,1,1,Saturday,0
2,2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5,27,32,train,2011-01-01,1,1,2,Saturday,0
3,2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3,10,13,train,2011-01-01,1,1,3,Saturday,0
4,2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0,1,1,train,2011-01-01,1,1,4,Saturday,0
5,2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,train,2011-01-01,1,1,5,Saturday,0
6,2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2,0,2,train,2011-01-01,1,1,6,Saturday,0
7,2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1,2,3,train,2011-01-01,1,1,7,Saturday,1
8,2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1,7,8,train,2011-01-01,1,1,8,Saturday,1
9,2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8,6,14,train,2011-01-01,1,1,9,Saturday,1
10,2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,train,2011-01-01,1,1,10,Saturday,1
11,2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,train,2011-01-01,1,1,11,Saturday,2
12,2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,train,2011-01-01,1,1,12,Saturday,2
13,2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,train,2011-01-01,1,1,13,Saturday,2
14,2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,train,2011-01-01,1,1,14,Saturday,2
15,2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,train,2011-01-01,1,1,15,Saturday,2
16,2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,train,2011-01-01,1,1,16,Saturday,3
17,2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,train,2011-01-01,1,1,17,Saturday,3
18,2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,train,2011-01-01,1,1,18,Saturday,3
19,2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,train,2011-01-01,1,1,19,Saturday,3
20,2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,train,2011-01-01,1,1,20,Saturday,3
21,2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34,train,2011-01-01,1,1,21,Saturday,4
22,2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,train,2011-01-01,1,1,22,Saturday,4
23,2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,train,2011-01-01,1,1,23,Saturday,4
24,2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,train,2011-01-02,1,2,0,Sunday,0
25,2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,train,2011-01-02,1,2,1,Sunday,0
26,2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,train,2011-01-02,1,2,2,Sunday,0
27,2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2,4,6,train,2011-01-02,1,2,3,Sunday,0
28,2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,2,1,3,train,2011-01-02,1,2,4,Sunday,0
29,2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,train,2011-01-02,1,2,6,Sunday,0
30,2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0,1,1,train,2011-01-02,1,2,7,Sunday,1
31,2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,train,2011-01-02,1,2,8,Sunday,1
32,2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,train,2011-01-02,1,2,9,Sunday,1
33,2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,train,2011-01-02,1,2,10,Sunday,1
34,2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,train,2011-01-02,1,2,11,Sunday,2
35,2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,train,2011-01-02,1,2,12,Sunday,2
36,2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,train,2011-01-02,1,2,13,Sunday,2
37,2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,4,55,59,train,2011-01-02,1,2,14,Sunday,2
38,2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,train,2011-01-02,1,2,15,Sunday,2
39,2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,train,2011-01-02,1,2,16,Sunday,3
