,PassengerId,family_cnt,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,title_Master,title_Miss,title_Mr,title_Mrs,title_rare,family_type_big,family_type_middle,family_type_sigle,cabin_type_A,cabin_type_B,cabin_type_C,cabin_type_D,cabin_type_E,cabin_type_F,cabin_type_O,cabin_type_n,Fare_scaled,family_cnt_scaled,SibSp_scaled,Parch_scaled,Age_type_adult,Age_type_child,Age_type_old,Age_scaled
0,1,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.5032910637405889,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,-0.5769651018662826
1,2,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.7347436506052941,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,0.6005784762458536
2,3,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4902404567566684,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.28257920733824854
3,4,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.38318349953756076,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,0.37978905534982804
4,5,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48782367768557205,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.37978905534982804
5,6,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.47992951052774285,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.12744325695950187
6,7,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.35925738673370655,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,0,0,1,1.7781220543579896
7,8,5,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.23599529847733,1.9684473254677004,2.4020368369913165,0.7107630931786129,0,1,0,-2.048894574506453
8,9,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.4282104384062805,0.7050506355744817,-0.47908676070718687,1.8665256881734007,1,0,0,-0.20898273370624004
9,10,2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.062068409135180025,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,-1.1657368909223507
10,11,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.32058256596570306,0.7050506355744817,0.481287771858981,0.7107630931786129,0,1,0,-1.9017016272424359
11,12,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.13014037516330884,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,0,0,1,2.072507948886024
12,13,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48782367768557205,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.7241580491302996
13,14,7,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.038786126275866,3.2318440153609194,0.481287771858981,5.333813473157765,1,0,0,0.6741749498778621
14,15,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4916093204225374,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-1.1657368909223507
15,16,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.33411652876384274,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,0,0,1,1.8517185279899984
16,17,6,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.08035472629872359,2.6001456704143098,3.3624113695574844,0.7107630931786129,0,1,0,-2.048894574506453
17,18,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.3921192264701557,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.20380748480855665
18,19,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.29544806362630077,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,0.085403160821794
